City,2016Pop,popRank,SqMiles,sizeRank,PopDensity,DensityRank,AnnualAverageWage,WageRank
Bridgeport,"145,936",1,16,9,8623.3,1,55480,8
Hartford,"123,243",4,17.3,8,7616,2,83160,4
New Haven,"129,934",2,18.9,7,6564.7,3,66740,5
New Britain,"72,558",8,13.3,10,5365.6,4,57113,7
Waterbury,"108,272",5,28.6,4,3791.8,5,45334,10
Norwalk,"88,438",6,22.8,5,3449.8,6,98712,3
Stamford,"129,113",3,37.7,3,2836.9,7,116289,2
West Hartford,"62,903",9,22,6,2675.4,8,48709,9
Danbury,"84,992",7,42,2,1533.5,9,61959,6
Greenwich,"62,359",10,47.9,1,1194.5,10,128050,1
